* RegName                                    	Page	Addr	Defval	Value
MaskChannelFrom096downto089                  	0x00	0x2B	0x00	0xFF
MaskChannelFrom104downto097                  	0x00	0x2C	0x00	0xFF
MaskChannelFrom112downto105                  	0x00	0x2D	0x00	0xFF
MaskChannelFrom120downto113                  	0x00	0x2E	0x00	0xFF
MaskChannelFrom128downto121                  	0x00	0x2F	0x00	0xFF
MaskChannelFrom136downto129                  	0x00	0x30	0x00	0xFF
MaskChannelFrom144downto137                  	0x00	0x31	0x00	0xFF
MaskChannelFrom152downto145                  	0x00	0x32	0x00	0xFF
MaskChannelFrom160downto153                  	0x00	0x33	0x00	0xFF
MaskChannelFrom168downto161                  	0x00	0x34	0x00	0xFF
MaskChannelFrom176downto169                  	0x00	0x35	0x00	0xFF
MaskChannelFrom184downto177                  	0x00	0x36	0x00	0xFF
MaskChannelFrom192downto185                  	0x00	0x37	0x00	0xFF
MaskChannelFrom200downto193                  	0x00	0x38	0x00	0xFF
MaskChannelFrom208downto201                  	0x00	0x39	0x00	0xFF
MaskChannelFrom216downto209                  	0x00	0x3A	0x00	0xFF
MaskChannelFrom224downto217                  	0x00	0x3B	0x00	0xFF
MaskChannelFrom232downto225                  	0x00	0x3C	0x00	0xFF
MaskChannelFrom240downto233                  	0x00	0x3D	0x00	0xFF
MaskChannelFrom248downto241                  	0x00	0x3E	0x00	0xFF
MaskChannelFrom254downto249                  	0x00	0x3F	0x00	0xFF
Channel001                                   	0x01	0x01	0x80	0xFF
Channel002                                   	0x01	0x02	0x80	0xFF
Channel003                                   	0x01	0x03	0x80	0xFF
Channel004                                   	0x01	0x04	0x80	0xFF
Channel005                                   	0x01	0x05	0x80	0xFF
Channel006                                   	0x01	0x06	0x80	0xFF
Channel007                                   	0x01	0x07	0x80	0xFF
Channel008                                   	0x01	0x08	0x80	0xFF
Channel009                                   	0x01	0x09	0x80	0xFF
Channel010                                   	0x01	0x0A	0x80	0xFF
Channel011                                   	0x01	0x0B	0x80	0xFF
Channel012                                   	0x01	0x0C	0x80	0xFF
Channel013                                   	0x01	0x0D	0x80	0xFF
Channel014                                   	0x01	0x0E	0x80	0xFF
Channel015                                   	0x01	0x0F	0x80	0xFF
Channel016                                   	0x01	0x10	0x80	0xFF
Channel017                                   	0x01	0x11	0x80	0xFF
Channel018                                   	0x01	0x12	0x80	0xFF
Channel019                                   	0x01	0x13	0x80	0xFF
Channel020                                   	0x01	0x14	0x80	0xFF
Channel021                                   	0x01	0x15	0x80	0xFF
Channel022                                   	0x01	0x16	0x80	0xFF
Channel023                                   	0x01	0x17	0x80	0xFF
Channel024                                   	0x01	0x18	0x80	0xFF
Channel025                                   	0x01	0x19	0x80	0xFF
Channel026                                   	0x01	0x1A	0x80	0xFF
Channel027                                   	0x01	0x1B	0x80	0xFF
Channel028                                   	0x01	0x1C	0x80	0xFF
Channel029                                   	0x01	0x1D	0x80	0xFF
Channel030                                   	0x01	0x1E	0x80	0xFF
Channel031                                   	0x01	0x1F	0x80	0xFF
Channel032                                   	0x01	0x20	0x80	0xFF
Channel033                                   	0x01	0x21	0x80	0xFF
Channel034                                   	0x01	0x22	0x80	0xFF
Channel035                                   	0x01	0x23	0x80	0xFF
Channel036                                   	0x01	0x24	0x80	0xFF
Channel037                                   	0x01	0x25	0x80	0xFF
Channel038                                   	0x01	0x26	0x80	0xFF
Channel039                                   	0x01	0x27	0x80	0xFF
Channel040                                   	0x01	0x28	0x80	0xFF
Channel041                                   	0x01	0x29	0x80	0xFF
Channel042                                   	0x01	0x2A	0x80	0xFF
Channel043                                   	0x01	0x2B	0x80	0xFF
Channel044                                   	0x01	0x2C	0x80	0xFF
Channel045                                   	0x01	0x2D	0x80	0xFF
Channel046                                   	0x01	0x2E	0x80	0xFF
Channel047                                   	0x01	0x2F	0x80	0xFF
Channel048                                   	0x01	0x30	0x80	0xFF
Channel049                                   	0x01	0x31	0x80	0xFF
Channel050                                   	0x01	0x32	0x80	0xFF
Channel051                                   	0x01	0x33	0x80	0xFF
Channel052                                   	0x01	0x34	0x80	0xFF
Channel053                                   	0x01	0x35	0x80	0xFF
Channel054                                   	0x01	0x36	0x80	0xFF
Channel055                                   	0x01	0x37	0x80	0xFF
Channel056                                   	0x01	0x38	0x80	0xFF
Channel057                                   	0x01	0x39	0x80	0xFF
Channel058                                   	0x01	0x3A	0x80	0xFF
Channel059                                   	0x01	0x3B	0x80	0xFF
Channel060                                   	0x01	0x3C	0x80	0xFF
Channel061                                   	0x01	0x3D	0x80	0xFF
Channel062                                   	0x01	0x3E	0x80	0xFF
Channel063                                   	0x01	0x3F	0x80	0xFF
Channel064                                   	0x01	0x40	0x80	0xFF
Channel065                                   	0x01	0x41	0x80	0xFF
Channel066                                   	0x01	0x42	0x80	0xFF
Channel067                                   	0x01	0x43	0x80	0xFF
Channel068                                   	0x01	0x44	0x80	0xFF
Channel069                                   	0x01	0x45	0x80	0xFF
Channel070                                   	0x01	0x46	0x80	0xFF
Channel071                                   	0x01	0x47	0x80	0xFF
Channel072                                   	0x01	0x48	0x80	0xFF
Channel073                                   	0x01	0x49	0x80	0xFF
Channel074                                   	0x01	0x4A	0x80	0xFF
Channel075                                   	0x01	0x4B	0x80	0xFF
Channel076                                   	0x01	0x4C	0x80	0xFF
Channel077                                   	0x01	0x4D	0x80	0xFF
Channel078                                   	0x01	0x4E	0x80	0xFF
Channel079                                   	0x01	0x4F	0x80	0xFF
Channel080                                   	0x01	0x50	0x80	0xFF
Channel081                                   	0x01	0x51	0x80	0xFF
Channel082                                   	0x01	0x52	0x80	0xFF
Channel083                                   	0x01	0x53	0x80	0xFF
Channel084                                   	0x01	0x54	0x80	0xFF
Channel085                                   	0x01	0x55	0x80	0xFF
Channel086                                   	0x01	0x56	0x80	0xFF
Channel087                                   	0x01	0x57	0x80	0xFF
Channel088                                   	0x01	0x58	0x80	0xFF
Channel089                                   	0x01	0x59	0x80	0xFF
Channel090                                   	0x01	0x5A	0x80	0xFF
Channel091                                   	0x01	0x5B	0x80	0xFF
Channel092                                   	0x01	0x5C	0x80	0xFF
Channel093                                   	0x01	0x5D	0x80	0xFF
Channel094                                   	0x01	0x5E	0x80	0xFF
Channel095                                   	0x01	0x5F	0x80	0xFF
Channel096                                   	0x01	0x60	0x80	0xFF
Channel097                                   	0x01	0x61	0x80	0xFF
Channel098                                   	0x01	0x62	0x80	0xFF
Channel099                                   	0x01	0x63	0x80	0xFF
Channel100                                   	0x01	0x64	0x80	0xFF
Channel101                                   	0x01	0x65	0x80	0xFF
Channel102                                   	0x01	0x66	0x80	0xFF
Channel103                                   	0x01	0x67	0x80	0xFF
Channel104                                   	0x01	0x68	0x80	0xFF
Channel105                                   	0x01	0x69	0x80	0xFF
Channel106                                   	0x01	0x6A	0x80	0xFF
Channel107                                   	0x01	0x6B	0x80	0xFF
Channel108                                   	0x01	0x6C	0x80	0xFF
Channel109                                   	0x01	0x6D	0x80	0xFF
Channel110                                   	0x01	0x6E	0x80	0xFF
Channel111                                   	0x01	0x6F	0x80	0xFF
Channel112                                   	0x01	0x70	0x80	0xFF
Channel113                                   	0x01	0x71	0x80	0xFF
Channel114                                   	0x01	0x72	0x80	0xFF
Channel115                                   	0x01	0x73	0x80	0xFF
Channel116                                   	0x01	0x74	0x80	0xFF
Channel117                                   	0x01	0x75	0x80	0xFF
Channel118                                   	0x01	0x76	0x80	0xFF
Channel119                                   	0x01	0x77	0x80	0xFF
Channel120                                   	0x01	0x78	0x80	0xFF
Channel121                                   	0x01	0x79	0x80	0xFF
Channel122                                   	0x01	0x7A	0x80	0xFF
Channel123                                   	0x01	0x7B	0x80	0xFF
Channel124                                   	0x01	0x7C	0x80	0xFF
Channel125                                   	0x01	0x7D	0x80	0xFF
Channel126                                   	0x01	0x7E	0x80	0xFF
Channel127                                   	0x01	0x7F	0x80	0xFF
Channel128                                   	0x01	0x80	0x80	0xFF
Channel129                                   	0x01	0x81	0x80	0xFF
Channel130                                   	0x01	0x82	0x80	0xFF
Channel131                                   	0x01	0x83	0x80	0xFF
Channel132                                   	0x01	0x84	0x80	0xFF
Channel133                                   	0x01	0x85	0x80	0xFF
Channel134                                   	0x01	0x86	0x80	0xFF
Channel135                                   	0x01	0x87	0x80	0xFF
Channel136                                   	0x01	0x88	0x80	0xFF
Channel137                                   	0x01	0x89	0x80	0xFF
Channel138                                   	0x01	0x8A	0x80	0xFF
Channel139                                   	0x01	0x8B	0x80	0xFF
Channel140                                   	0x01	0x8C	0x80	0xFF
Channel141                                   	0x01	0x8D	0x80	0xFF
Channel142                                   	0x01	0x8E	0x80	0xFF
Channel143                                   	0x01	0x8F	0x80	0xFF
Channel144                                   	0x01	0x90	0x80	0xFF
Channel145                                   	0x01	0x91	0x80	0xFF
Channel146                                   	0x01	0x92	0x80	0xFF
Channel147                                   	0x01	0x93	0x80	0xFF
Channel148                                   	0x01	0x94	0x80	0xFF
Channel149                                   	0x01	0x95	0x80	0xFF
Channel150                                   	0x01	0x96	0x80	0xFF
Channel151                                   	0x01	0x97	0x80	0xFF
Channel152                                   	0x01	0x98	0x80	0xFF
Channel153                                   	0x01	0x99	0x80	0xFF
Channel154                                   	0x01	0x9A	0x80	0xFF
Channel155                                   	0x01	0x9B	0x80	0xFF
Channel156                                   	0x01	0x9C	0x80	0xFF
Channel157                                   	0x01	0x9D	0x80	0xFF
Channel158                                   	0x01	0x9E	0x80	0xFF
Channel159                                   	0x01	0x9F	0x80	0xFF
Channel160                                   	0x01	0xA0	0x80	0xFF
Channel161                                   	0x01	0xA1	0x80	0xFF
Channel162                                   	0x01	0xA2	0x80	0xFF
Channel163                                   	0x01	0xA3	0x80	0xFF
Channel164                                   	0x01	0xA4	0x80	0xFF
Channel165                                   	0x01	0xA5	0x80	0xFF
Channel166                                   	0x01	0xA6	0x80	0xFF
Channel167                                   	0x01	0xA7	0x80	0xFF
Channel168                                   	0x01	0xA8	0x80	0xFF
Channel169                                   	0x01	0xA9	0x80	0xFF
Channel170                                   	0x01	0xAA	0x80	0xFF
Channel171                                   	0x01	0xAB	0x80	0xFF
Channel172                                   	0x01	0xAC	0x80	0xFF
Channel173                                   	0x01	0xAD	0x80	0xFF
Channel174                                   	0x01	0xAE	0x80	0xFF
Channel175                                   	0x01	0xAF	0x80	0xFF
Channel176                                   	0x01	0xB0	0x80	0xFF
Channel177                                   	0x01	0xB1	0x80	0xFF
Channel178                                   	0x01	0xB2	0x80	0xFF
Channel179                                   	0x01	0xB3	0x80	0xFF
Channel180                                   	0x01	0xB4	0x80	0xFF
Channel181                                   	0x01	0xB5	0x80	0xFF
Channel182                                   	0x01	0xB6	0x80	0xFF
Channel183                                   	0x01	0xB7	0x80	0xFF
Channel184                                   	0x01	0xB8	0x80	0xFF
Channel185                                   	0x01	0xB9	0x80	0xFF
Channel186                                   	0x01	0xBA	0x80	0xFF
Channel187                                   	0x01	0xBB	0x80	0xFF
Channel188                                   	0x01	0xBC	0x80	0xFF
Channel189                                   	0x01	0xBD	0x80	0xFF
Channel190                                   	0x01	0xBE	0x80	0xFF
Channel191                                   	0x01	0xBF	0x80	0xFF
Channel192                                   	0x01	0xC0	0x80	0xFF
Channel193                                   	0x01	0xC1	0x80	0xFF
Channel194                                   	0x01	0xC2	0x80	0xFF
Channel195                                   	0x01	0xC3	0x80	0xFF
Channel196                                   	0x01	0xC4	0x80	0xFF
Channel197                                   	0x01	0xC5	0x80	0xFF
Channel198                                   	0x01	0xC6	0x80	0xFF
Channel199                                   	0x01	0xC7	0x80	0xFF
Channel200                                   	0x01	0xC8	0x80	0xFF
Channel201                                   	0x01	0xC9	0x80	0xFF
Channel202                                   	0x01	0xCA	0x80	0xFF
Channel203                                   	0x01	0xCB	0x80	0xFF
Channel204                                   	0x01	0xCC	0x80	0xFF
Channel205                                   	0x01	0xCD	0x80	0xFF
Channel206                                   	0x01	0xCE	0x80	0xFF
Channel207                                   	0x01	0xCF	0x80	0xFF
Channel208                                   	0x01	0xD0	0x80	0xFF
Channel209                                   	0x01	0xD1	0x80	0xFF
Channel210                                   	0x01	0xD2	0x80	0xFF
Channel211                                   	0x01	0xD3	0x80	0xFF
Channel212                                   	0x01	0xD4	0x80	0xFF
Channel213                                   	0x01	0xD5	0x80	0xFF
Channel214                                   	0x01	0xD6	0x80	0xFF
Channel215                                   	0x01	0xD7	0x80	0xFF
Channel216                                   	0x01	0xD8	0x80	0xFF
Channel217                                   	0x01	0xD9	0x80	0xFF
Channel218                                   	0x01	0xDA	0x80	0xFF
Channel219                                   	0x01	0xDB	0x80	0xFF
Channel220                                   	0x01	0xDC	0x80	0xFF
Channel221                                   	0x01	0xDD	0x80	0xFF
Channel222                                   	0x01	0xDE	0x80	0xFF
Channel223                                   	0x01	0xDF	0x80	0xFF
Channel224                                   	0x01	0xE0	0x80	0xFF
Channel225                                   	0x01	0xE1	0x80	0xFF
Channel226                                   	0x01	0xE2	0x80	0xFF
Channel227                                   	0x01	0xE3	0x80	0xFF
Channel228                                   	0x01	0xE4	0x80	0xFF
Channel229                                   	0x01	0xE5	0x80	0xFF
Channel230                                   	0x01	0xE6	0x80	0xFF
Channel231                                   	0x01	0xE7	0x80	0xFF
Channel232                                   	0x01	0xE8	0x80	0xFF
Channel233                                   	0x01	0xE9	0x80	0xFF
Channel234                                   	0x01	0xEA	0x80	0xFF
Channel235                                   	0x01	0xEB	0x80	0xFF
Channel236                                   	0x01	0xEC	0x80	0xFF
Channel237                                   	0x01	0xED	0x80	0xFF
Channel238                                   	0x01	0xEE	0x80	0xFF
Channel239                                   	0x01	0xEF	0x80	0xFF
Channel240                                   	0x01	0xF0	0x80	0xFF
Channel241                                   	0x01	0xF1	0x80	0xFF
Channel242                                   	0x01	0xF2	0x80	0xFF
Channel243                                   	0x01	0xF3	0x80	0xFF
Channel244                                   	0x01	0xF4	0x80	0xFF
Channel245                                   	0x01	0xF5	0x80	0xFF
Channel246                                   	0x01	0xF6	0x80	0xFF
Channel247                                   	0x01	0xF7	0x80	0xFF
Channel248                                   	0x01	0xF8	0x80	0xFF
Channel249                                   	0x01	0xF9	0x80	0xFF
Channel250                                   	0x01	0xFA	0x80	0xFF
Channel251                                   	0x01	0xFB	0x80	0xFF
Channel252                                   	0x01	0xFC	0x80	0xFF
Channel253                                   	0x01	0xFD	0x80	0xFF
Channel254                                   	0x01	0xFE	0x80	0xFF
ChannelDummy                                 	0x01	0xFF	0x80	0xFF
